Day,Time,Progression,Rain,Temp
10/24/2023,12:00:00,1,FALSE,30.29
10/24/2023,13:00:00,2,FALSE,30.36
10/24/2023,14:00:00,3,TRUE,30.35
10/24/2023,15:00:00,4,TRUE,27.91
10/24/2023,16:00:00,5,TRUE,30.06
10/24/2023,17:00:00,6,TRUE,30.5
10/24/2023,18:00:00,7,FALSE,29.23
10/24/2023,19:00:00,8,FALSE,29.81
10/24/2023,20:00:00,9,FALSE,31.23
10/24/2023,21:00:00,10,FALSE,30.99
10/24/2023,22:00:00,11,FALSE,30.69
10/24/2023,23:00:00,12,FALSE,30.65
10/25/2023,0:00:00,13,FALSE,30.79
10/25/2023,1:00:00,14,FALSE,29.96
10/25/2023,2:00:00,15,FALSE,30.11
10/25/2023,3:00:00,16,FALSE,30.79
10/25/2023,4:00:00,17,FALSE,31.77
10/25/2023,5:00:00,18,FALSE,32.16
10/25/2023,6:00:00,19,FALSE,32.06
10/25/2023,7:00:00,20,FALSE,32.31
10/25/2023,8:00:00,21,FALSE,32.6
10/25/2023,9:00:00,22,FALSE,32.7
10/25/2023,10:00:00,23,FALSE,32.06
10/25/2023,11:00:00,24,FALSE,31.52
10/25/2023,12:00:00,25,FALSE,30.45
10/25/2023,13:00:00,26,FALSE,31.13
10/25/2023,14:00:00,27,FALSE,30.79
10/25/2023,15:00:00,28,FALSE,30.35
10/25/2023,16:00:00,29,FALSE,31.87
10/25/2023,17:00:00,30,FALSE,30.25
10/25/2023,18:00:00,31,FALSE,30.01
10/25/2023,19:00:00,32,FALSE,30.74
10/25/2023,20:00:00,33,FALSE,30.3
10/25/2023,21:00:00,34,FALSE,30.4
10/25/2023,22:00:00,35,FALSE,30.65
10/25/2023,23:00:00,36,FALSE,30.11
10/26/2023,0:00:00,37,FALSE,31.38
10/26/2023,1:00:00,38,FALSE,30.06
10/26/2023,2:00:00,39,FALSE,31.04
10/26/2023,3:00:00,40,FALSE,32.16
10/26/2023,4:00:00,41,FALSE,32.16
10/26/2023,5:00:00,42,FALSE,32.06
10/26/2023,6:00:00,43,FALSE,32.75
10/26/2023,7:00:00,44,FALSE,32.8
10/26/2023,8:00:00,45,FALSE,32.16
10/26/2023,9:00:00,46,FALSE,32.06
10/26/2023,10:00:00,47,FALSE,31.09
10/26/2023,11:00:00,48,FALSE,30.16
10/26/2023,12:00:00,49,FALSE,31.13
10/26/2023,13:00:00,50,FALSE,31.28
10/26/2023,14:00:00,51,FALSE,29.91
10/26/2023,15:00:00,52,FALSE,30.5
10/26/2023,16:00:00,53,FALSE,30.4
10/26/2023,17:00:00,54,FALSE,30.55
10/26/2023,18:00:00,55,FALSE,30.84
10/26/2023,19:00:00,56,FALSE,31.13
10/26/2023,20:00:00,57,FALSE,30.21
10/26/2023,21:00:00,58,FALSE,29.52
10/26/2023,22:00:00,59,FALSE,30.45
10/26/2023,23:00:00,60,FALSE,29.72
10/27/2023,0:00:00,61,FALSE,30.84
10/27/2023,1:00:00,62,FALSE,30.06
10/27/2023,2:00:00,63,FALSE,30.21
10/27/2023,3:00:00,64,FALSE,30.21
10/27/2023,4:00:00,65,FALSE,31.28
10/27/2023,5:00:00,66,FALSE,29.86
10/27/2023,6:00:00,67,FALSE,32.16
10/27/2023,7:00:00,68,FALSE,31.04
10/27/2023,8:00:00,69,FALSE,30.11
10/27/2023,9:00:00,70,FALSE,31.18
10/27/2023,10:00:00,71,FALSE,29.18
10/27/2023,11:00:00,72,FALSE,30.35
10/27/2023,12:00:00,73,FALSE,30.84
10/27/2023,13:00:00,74,FALSE,31.09
10/27/2023,14:00:00,75,FALSE,30.01
10/27/2023,15:00:00,76,FALSE,30.4
10/27/2023,16:00:00,77,FALSE,30.21
10/27/2023,17:00:00,78,FALSE,29.96
10/27/2023,18:00:00,79,FALSE,30.06
10/27/2023,19:00:00,80,FALSE,29.96
10/27/2023,20:00:00,81,FALSE,30.45
10/27/2023,21:00:00,82,FALSE,30.84
10/27/2023,22:00:00,83,FALSE,30.99
10/27/2023,23:00:00,84,FALSE,30.01
10/28/2023,0:00:00,85,FALSE,30.74
10/28/2023,1:00:00,86,FALSE,30.5
10/28/2023,2:00:00,87,FALSE,30.45
10/28/2023,3:00:00,88,FALSE,30.74
10/28/2023,4:00:00,89,FALSE,30.16
10/28/2023,5:00:00,90,FALSE,31.09
10/28/2023,6:00:00,91,FALSE,31.33
10/28/2023,7:00:00,92,FALSE,28.05
10/28/2023,8:00:00,93,FALSE,30.5
10/28/2023,9:00:00,94,FALSE,30.94
10/28/2023,10:00:00,95,FALSE,30.89
10/28/2023,11:00:00,96,FALSE,30.25
10/28/2023,12:00:00,97,FALSE,30.45
10/28/2023,13:00:00,98,FALSE,29.81
10/28/2023,14:00:00,99,FALSE,31.38
10/28/2023,15:00:00,100,FALSE,30.45
10/28/2023,16:00:00,101,FALSE,29.42
10/28/2023,17:00:00,102,FALSE,30.45
10/28/2023,18:00:00,103,FALSE,31.33
10/28/2023,19:00:00,104,FALSE,30.65
10/28/2023,20:00:00,105,FALSE,30.55
10/28/2023,21:00:00,106,FALSE,31.23
10/28/2023,22:00:00,107,FALSE,30.01
10/28/2023,23:00:00,108,FALSE,30.74
10/29/2023,0:00:00,109,FALSE,30.84
10/29/2023,1:00:00,110,FALSE,30.35
10/29/2023,2:00:00,111,FALSE,30.74
10/29/2023,3:00:00,112,FALSE,30.6
10/29/2023,4:00:00,113,FALSE,30.35
10/29/2023,5:00:00,114,FALSE,30.5
10/29/2023,6:00:00,115,FALSE,29.81
10/29/2023,7:00:00,116,FALSE,30.45
10/29/2023,8:00:00,117,FALSE,30.25
10/29/2023,9:00:00,118,FALSE,30.5
10/29/2023,10:00:00,119,FALSE,31.52
10/29/2023,11:00:00,120,FALSE,29.86
10/29/2023,12:00:00,121,FALSE,29.77
10/29/2023,13:00:00,122,FALSE,30.65
10/29/2023,14:00:00,123,FALSE,29.91
10/29/2023,15:00:00,124,FALSE,30.74
10/29/2023,16:00:00,125,FALSE,29.81
10/29/2023,17:00:00,126,FALSE,30.65
10/29/2023,18:00:00,127,FALSE,30.6
10/29/2023,19:00:00,128,FALSE,30.01
10/29/2023,20:00:00,129,FALSE,30.65
10/29/2023,21:00:00,130,FALSE,30.5
10/29/2023,22:00:00,131,FALSE,30.99
10/29/2023,23:00:00,132,FALSE,30.69
10/30/2023,0:00:00,133,FALSE,31.04
10/30/2023,1:00:00,134,FALSE,30.6
10/30/2023,2:00:00,135,FALSE,30.55
10/30/2023,3:00:00,136,FALSE,30.5
10/30/2023,4:00:00,137,FALSE,30.25
10/30/2023,5:00:00,138,FALSE,27.47
10/30/2023,6:00:00,139,FALSE,30.74
10/30/2023,7:00:00,140,FALSE,29.47
10/30/2023,8:00:00,141,FALSE,31.04
10/30/2023,9:00:00,142,FALSE,30.65
10/30/2023,10:00:00,143,FALSE,30.06
10/30/2023,11:00:00,144,FALSE,31.62
10/30/2023,12:00:00,145,FALSE,30.06
